source_id,source_name,source_type,url,title,published_at,fetched_at,content_hash,license,notes
synthetic_seed_2026_04_27,Synthetic seed data,community,https://example.com/llm-benchmark-db/synthetic-seed,Synthetic seed rows for API development,2026-04-27,2026-04-27T00:00:00,synthetic,CC0-1.0,Scores are synthetic examples only and must not be interpreted as real claims.
openai_gpt_5_5_launch_2026_04_23,OpenAI GPT-5.5 launch post,official_lab,https://openai.com/index/introducing-gpt-5-5/,Introducing GPT-5.5,2026-04-23,2026-05-03T00:00:00,,,Official OpenAI launch post. Rows from this source are provider-reported and should be labeled as official lab claims.
artificial_analysis_gpqa_diamond_2026_05_03,Artificial Analysis GPQA Diamond leaderboard,independent,https://artificialanalysis.ai/evaluations/gpqa-diamond,GPQA Diamond Benchmark Leaderboard,,2026-05-03T00:00:00,,,"Dynamic independent leaderboard page; no static publication date exposed, so freshness is represented by fetched_at and extracted_at."
artificial_analysis_terminalbench_hard_2026_05_03,Artificial Analysis Terminal-Bench Hard leaderboard,independent,https://artificialanalysis.ai/evaluations/terminalbench-hard,Terminal-Bench Hard Benchmark Leaderboard,,2026-05-03T00:00:00,,,"Dynamic independent leaderboard page; no static publication date exposed, so freshness is represented by fetched_at and extracted_at."
anthropic_claude_opus_4_7_launch_2026_04_16,Anthropic Claude Opus 4.7 launch post,official_lab,https://www.anthropic.com/news/claude-opus-4-7,Introducing Claude Opus 4.7,2026-04-16,2026-05-03T00:00:00,,,Official Anthropic launch post. Numeric benchmark table is rendered as an image; text exposes methodology footnotes and release metadata.
llm_stats_claude_opus_4_7_2026_04_16,LLM Stats Claude Opus 4.7 launch summary,provider_claim,https://llm-stats.com/blog/research/claude-opus-4-7-launch,"Claude Opus 4.7: Benchmarks, Pricing, Context & What's New",2026-04-16,2026-05-03T00:00:00,,,Public summary of Anthropic-reported launch benchmark numbers; use as provider-claim provenance unless independently rerun.
geta_claude_opus_4_7_2026_04_19,getA Claude Opus 4.7 agent benchmark analysis,provider_claim,https://blog.geta.team/claude-opus-4-7-just-dropped-heres-what-the-benchmarks-actually-mean-for-agent-builders/,Claude Opus 4.7 Just Dropped. Here's What the Benchmarks Actually Mean for Agent Builders.,2026-04-19,2026-05-03T00:00:00,,,Public analysis summarizing Anthropic-reported agent benchmark numbers; use as provider-claim provenance unless independently rerun.
officechai_claude_opus_4_7_2026_04_16,OfficeChai Claude Opus 4.7 benchmark summary,provider_claim,https://officechai.com/ai/ckaude-opus-4-7-benchmarks/,"Anthropic Releases Claude Opus 4.7, Beats GPT-5.4, Gemini 3.1 Pro On Most Benchmarks",2026-04-16,2026-05-03T00:00:00,,,Public summary of Anthropic-reported launch benchmark numbers; use as provider-claim provenance unless independently rerun.
binaryverse_claude_opus_4_7_2026_04_16,BinaryVerse Claude Opus 4.7 benchmark guide,provider_claim,https://binaryverseai.com/claude-opus-4-7-benchmarks-token-limits-mythos/,Claude Opus 4.7: 7 Major Benchmarks And Token Limits Guide,2026-04-16,2026-05-03T00:00:00,,,Public summary table of Anthropic-reported launch benchmark numbers; use as provider-claim provenance unless independently rerun.
deepseek_v4_pro_hf_2026_04_22,DeepSeek V4 Pro Hugging Face model card,official_lab,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro,deepseek-ai/DeepSeek-V4-Pro,2026-04-22,2026-05-03T00:00:00,,MIT,Official DeepSeek model card and reported benchmark table.
nist_caisi_deepseek_v4_pro_2026_05_01,NIST CAISI DeepSeek V4 Pro evaluation,independent,https://www.nist.gov/news-events/news/2026/05/caisi-evaluation-deepseek-v4-pro,CAISI Evaluation of DeepSeek V4 Pro,2026-05-01,2026-05-03T00:00:00,,,"Independent CAISI/NIST evaluation. CAISI notes prompt, scaffold, and token-budget differences for SWE-bench Verified."
moonshot_kimi_k2_6_hf_2026_04_20,Moonshot Kimi K2.6 Hugging Face model card and eval files,official_lab,https://huggingface.co/moonshotai/Kimi-K2.6,moonshotai/Kimi-K2.6,2026-04-20,2026-05-03T00:00:00,,Modified MIT,Official Moonshot model card plus .eval_results YAML files.
zai_glm_5_1_hf_2026_04_07,Z.AI GLM-5.1 Hugging Face model card,official_lab,https://huggingface.co/zai-org/GLM-5.1,zai-org/GLM-5.1,2026-04-07,2026-05-03T00:00:00,,MIT,Official Z.AI GLM-5.1 model card and benchmark table.
